nid|state|city|name|url|error
335|SC|Seneca|The Journal Online|http://www.upstatetoday.com/|
336|SC|Simpsonville|Tribune Times|http://www.tribunetimes.com/apps/pbcs.dll/section?category=TRIBUNETIMES|
337|SC|Spartanburg|Herald-Journal|http://www.goupstate.com/|Bad url?
338|SC|Sumter|The Item|http://www.theitem.com/|
339|SC|Union|The Union Daily Times|http://www.uniondailytimes.com/|
340|SC|Walhalla|Keowee Courier|http://www.laserbuddy.com/news/kc.htm|
341|SC|Williamston|The Journal Online|http://www.thejournalonline.com/content.aspx?IsHome=1&MemberID=1499&ID=5915&Module=Quickpage|
342|SC|Winnsboro|The Herald Independent|http://www.heraldindependent.com|
343|SC|York|Yorkville Enquirer|http://www.enquirerherald.com/|
344|MO|Ashland|Boone County Journal|http://www.bocojo.com/|
345|MO|Bethany|Republican-Clipper|http://www.bethanyclipper.com/|
346|MO|Bolivar|Bolivar Herald-Free Press|http://bolivarmonews.com/|
347|MO|Boonville|Daily News|http://www.boonvilledailynews.com/|
348|MO|Bowling Green|Bowling Green Times|http://www.bowlinggreentimes.com/news/index.asp|
349|MO|Bowling Green|The People's Tribune|http://thepeoplestribune.com/|
350|MO|Branson|Branson Courier|http://www.bransoncourier.com/|
351|MO|Branson|Branson Tri-Lakes News|http://bransontrilakesnews.com/|
352|MO|Brookfield|Linn County Leader|http://www.linncountyleader.com/|
353|MO|Buffalo|Buffalo Reflex|http://buffaloreflex.com/|
354|MO|California|California Democrat|http://www.californiademocrat.com/|
355|MO|Camdenton|Lake News Online|http://www.lakenewsonline.com/|
356|MO|Cape Girardeau|Southeast Missourian|http://www.semissourian.com/|
357|MO|Carthage|The Carthage Press|http://www.carthagepress.com/|
358|MO|Caruthersville|Democrat Argus|http://democratargus.com/|
359|MO|Chillicothe|Constitution-Tribune|http://www.chillicothenews.com/|
360|MO|Columbia|Columbia Daily Tribune|http://www.columbiatribune.com/|
361|MO|Columbia|Columbia Missourian|http://www.columbiamissourian.com/|
362|MO|Cuba|Cuba Free Press|http://threeriverspublishing.com/TRP/index.php?option=com_content&view=category&layout=blog&id=27|
363|MO|Dexter|The Daily Statesman|http://www.dailystatesman.com/|
364|MO|El Dorado Springs|El Dorado Springs Sun|http://www.eldoradospringsmo.com/|
365|MO|Eldon|Eldon Advertiser|http://www.vernonpublishing.com/Advertiser/|
366|MO|Eldon|Vernon Publishing Newspapers|http://www.vernonpublishing.com/|
367|MO|Ellisville|Newsmagazine Network|http://www.newsmagazinenetwork.com/|
368|MO|Elsberry|Elsberry Democrat|http://www.elsberrydemocrat.com/news/index.asp|
369|MO|Eminence|Shannon County Current Wave|http://www.shannoncountycurrentwave.com/|
370|MO|Fredericktown|Democrat News|http://www.dailyjournalonline.com/democrat-news/|
371|MO|Fulton|Fulton Sun|http://www.fultonsun.com/|
372|MO|Gainesville|Ozark County Times|http://www.ozarkcountytimes.com/|
373|MO|Gallatin|Gallatin North Missourian|http://www.gallatinnorthmissourian.com/|
374|MO|Hamilton|Caldwell County News|http://www.mycaldwellcounty.com/|
375|MO|Hannibal|Hannibal Courier-Post|http://www.hannibal.net/|
376|MO|Harrisonville|Democrat-Missourian|http://www.demo-mo.com/|
377|MO|Hermann|CountyNewsLive.com|http://www.countynewslive.com/|
378|MO|Hermann|Hermann Advertiser Courier|http://www.hermannadvertisercourier.com/news/index.asp|
379|MO|Houston|Houston Herald|http://www.houstonherald.com/|
380|MO|Independence|The Examiner|http://www.examiner.net/|
381|MO|Jackson|Cash-Book Journal|http://www.thecash-book.com/|
